['AHAA03031', '安徽省合肥市南京医药合肥大药房连锁有限公司华源药房', '合肥市和平路110号华源商业街一区A101号\n', '31.854450000000018,117.33346000000002']
['AHAA03027', '安徽省合肥市南京医药合肥大药房连锁有限公司长寿药房', '安徽省合肥市蒙城路41号\n', '31.86499,117.27662']
['AHAA03030', '安徽省合肥市南京医药合肥大药房连锁有限公司金溪药房', '安徽省合肥市绩溪路金溪苑小区1幢105号\n', '31.845119999999994,117.26821000000001']
['AHAA03034', '安徽省合肥市南京医药合肥大药房连锁有限公司阳光药房', '安徽省合肥市太湖路朱岗小区1-B-101\n', '31.82499,117.30036']
['AHAA03042', '安徽省合肥市南京医药合肥大药房连锁有限公司城隍庙药房', '合肥市绩溪路29号楼一层西边门面\n', '31.845670000000005,117.26547']
['AHAA03016', '安徽省合肥市南京医药合肥大药房连锁有限公司长江大药房', '安徽省合肥市长江中路315号\n', '31.861360000000012,117.27819000000001']
['AHAA03029', '安徽省合肥市南京医药合肥大药房连锁有限公司佳佳洁药房', '安徽省合肥市九华山路21号\n', '31.83915,117.28803000000003']
['AHAC107812', '安徽百姓缘大药房连锁有限公司肥东共和花园店', '安徽省合肥市肥东县店埠镇人民路东段志州楼北座112-113号\n', '31.88645,117.48104']
['AHAA03021', '安徽省合肥市南京医药合肥大药房连锁有限公司仁和药房', '安徽省合肥市美菱大道205号\n', '31.843218000000004,117.29601899999997']
['AHAA03024', '安徽省合肥市南京医药合肥大药房连锁有限公司铜陵路药房', '安徽省合肥市铜陵路华业苑三号门面\n', '31.858079999999994,117.32325']
['AHAA03020', '安徽省合肥市南京医药合肥大药房连锁有限公司银河新城药房', '安徽省合肥市凤台路与嘉山路交叉口东北角银河新城小区9幢一层门面\n', '31.89425000000001,117.29193000000002']
['AHAA03023', '安徽省合肥市南京医药合肥大药房连锁有限公司泰康药房', '合肥市霍山路与长丰路交口奥林阁大厦5-107室\n', '31.864200000000018,117.26100000000001']
['AHAA03026', '安徽省合肥市南京医药合肥大药房连锁有限公司长淮药房', '合肥市瑶海区明光路与蚌埠路交口中房名都104、105室\n', '31.865560000000002,117.30588999999999']
['AHAA03017', '安徽省合肥市南京医药合肥大药房连锁有限公司淮河路药房', '合肥市庐阳区九狮桥街21号一层\n', '31.862989999999993,117.29558000000002']
['AHAA03015', '安徽省合肥市南京医药合肥大药房连锁有限公司合肥大药房', '安徽省合肥市经济技术开发区慈光路118号\n', '31.76908,117.27729']
['AHAC64403', '安徽百姓缘大药房连锁有限公司肥东龙泉东路店', '肥东县店埠镇龙泉东路76号\n', '31.88149,117.47578']
['AHAC58694', '百姓缘肥东良小郢店', '肥东县店埠镇镇南良小郢\n', '31.87785,117.47115']
['AHAC58693', '百姓缘肥东人民路二店', '肥东县店埠镇人民路青春苑小区A区7幢106、107室\n', '31.88768,117.47212']
['AHAA107785', '安徽百姓缘大药房连锁有限公司华府骏苑店', '合肥市蜀山区望江西路198号信旺华府骏苑B区半地下商业及车库商102（-）商铺\n', '31.83092,117.23376']
['AHAC69021', '安徽百姓缘大药房连锁有限公司肥东西苑路店', '肥东县店埠镇花园社区草坎组西苑路67号\n', '31.883081,117.45961']
['AHAC68471', '安徽百姓缘大药房连锁有限公司撮镇二店', '肥东县撮镇镇义和家园商业街门面公建4幢126号第一层\n', '31.82054,117.47993']
['AHAC107811', '安徽百姓缘大药房连锁有限公司肥东浮槎路店', '安徽省合肥市肥东县店埠镇浮槎路青春苑B区8幢106号\n', '31.88359,117.47854']
['AHAC58692', '百姓缘肥东公园路店', '肥东县店埠镇公园路39号\n', '31.88346,117.46007']
